Title,Book Type,Publish Date,Link to book
I Shudder At Your Touch,Anthology,December 1990,https://stephenking.com/works//works/anthology/i-shudder-at-your-touch.html
IT,Novel,September 1986,https://stephenking.com/works//works/novel/it.html
If It Bleeds,Story Collection,April 2020,https://stephenking.com/works//works/collection/if-it-bleeds.html
If It Bleeds,Novella,"April 21st, 2020",https://stephenking.com/works//works/novella/if-it-bleeds.html
In Sunlight or in Shadow: Stories Inspired by the Paintings of Edward Hopper,Anthology,December 2016,https://stephenking.com/works//works/anthology/in-sunlight-or-in-shadow-stories-inspired-by-the-paintings-of-edward-hopper.html
In the Deathroom,Short Story,March 2002,https://stephenking.com/works//works/short/in-the-deathroom.html
In the Key-Chords of Dawn,Poem,April 2004,https://stephenking.com/works//works/poem/in-the-key-chords-of-dawn.html
In the Shadow of the Master,Anthology,December 2008,https://stephenking.com/works//works/anthology/in-the-shadow-of-the-master.html
In the Tall Grass,Short Story,Uncollected,https://stephenking.com/works//works/short/in-the-tall-grass.html
Insomnia,Limited Edition,June 1994,https://stephenking.com/works//works/limited/insomnia.html
Insomnia,Novel,September 1994,https://stephenking.com/works//works/novel/insomnia.html
The Institute,Novel,September 2019,https://stephenking.com/works//works/novel/institute.html
Introduction to Jack Ketchum's The Girl Next Door,Essay,December 1999,https://stephenking.com/works//works/essay/introduction-to-jack-ketchums-the-girl-next-door.html
Isaac Asimov's Magical World of Fantasy #4,Anthology,December 1984,https://stephenking.com/works//works/anthology/isaac-asimovs-magical-world-of-fantasy-4.html
It Grows on You,Short Story,October 1993,https://stephenking.com/works//works/short/it-grows-on-you.html
The Jaunt,Short Story,June 1985,https://stephenking.com/works//works/short/jaunt.html
Jerusalem's Lot,Short Story,December 1977,https://stephenking.com/works//works/short/jerusalems-lot.html
Joyland Illustrated Edition,Novel,September 2015,https://stephenking.com/works//works/novel/joyland-illustrated-edition.html
Joyland,Limited Edition,June 2013,https://stephenking.com/works//works/limited/joyland.html
Joyland,Novel,June 2013,https://stephenking.com/works//works/novel/joyland.html
Jumper,Short Story,Uncollected,https://stephenking.com/works//works/short/jumper.html
Just A Little Talent,Essay,June 2013,https://stephenking.com/works//works/essay/just-a-little-talent.html
Just After Sunset,Story Collection,November 2008,https://stephenking.com/works//works/collection/just-after-sunset.html
Killer Crimes,Anthology,December 2016,https://stephenking.com/works//works/anthology/killer-crimes.html
King Pen,Interview,October 2005,https://stephenking.com/works//works/interview/king-pen.html
L.T.'s Theory of Pets,Short Story,March 2002,https://stephenking.com/works//works/short/lts-theory-of-pets.html
The Langoliers,Novella,"September 24th, 1990",https://stephenking.com/works//works/novella/langoliers.html
The Last Rung on the Ladder,Short Story,December 1977,https://stephenking.com/works//works/short/last-rung-on-the-ladder.html
Later,Novel,"March 2nd, 2021",https://stephenking.com/works//works/novel/later.html
Later,Limited Edition,"March 30th, 2021",https://stephenking.com/works//works/limited/later.html
Laurie,Short Story,Uncollected,https://stephenking.com/works//works/short/laurie.html
The Lawnmower Man,Short Story,December 1977,https://stephenking.com/works//works/short/lawnmower-man.html
The Ledge,Short Story,December 1977,https://stephenking.com/works//works/short/ledge.html
Legends,Anthology,December 1997,https://stephenking.com/works//works/anthology/legends.html
Letters from Hell,Limited Edition,September 1988,https://stephenking.com/works//works/limited/letters-from-hell.html
The Library Policeman,Novella,"September 24th, 1990",https://stephenking.com/works//works/novella/library-policeman.html
The Life of Chuck,Novella,"April 21st, 2020",https://stephenking.com/works//works/novella/life-of-chuck.html
Light Speed: Year One,Anthology,December 2010,https://stephenking.com/works//works/anthology/light-speed-year-one.html
Lisey's Story,Novel,October 2006,https://stephenking.com/works//works/novel/liseys-story.html
Little Green God of Agony,Short Story,November 2015,https://stephenking.com/works//works/short/little-green-god-of-agony.html
The Little Sisters of Eluria,Short Story,March 2002,https://stephenking.com/works//works/short/little-sisters-of-eluria.html
The Little Sisters of Eluria,Limited Edition,January 2009,https://stephenking.com/works//works/limited/little-sisters-of-eluria.html
The Lonesome Death of Jordy Verrill,Short Story,Uncollected,https://stephenking.com/works//works/short/lonesome-death-of-jordy-verrill.html
The Long Walk,Bachman Novel,December 1978,https://stephenking.com/works//works/novel/long-walk.html
Low Men in Yellow Coats,Novella,"September 14th, 1999",https://stephenking.com/works//works/novella/low-men-in-yellow-coats.html
Luckey Quarter,Short Story,March 2002,https://stephenking.com/works//works/short/luckey-quarter.html
Lunch at the Gotham Cafe,Short Story,March 2002,https://stephenking.com/works//works/short/lunch-at-the-gotham-cafe.html
Magicats,Anthology,December 1983,https://stephenking.com/works//works/anthology/magicats.html
